Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120001	 ResultTime:113355	 Fitness:-22	 GlobIt:57955	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120002	 ResultTime:115953	 Fitness:-20	 GlobIt:57889	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120002	 ResultTime:105062	 Fitness:-22	 GlobIt:58121	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120002	 ResultTime:118013	 Fitness:-20	 GlobIt:57447	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120002	 ResultTime:106470	 Fitness:-24	 GlobIt:58165	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120001	 ResultTime:105428	 Fitness:-27	 GlobIt:58044	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:0.001	 Temp:2.0846135131356087	 My:-5.493061443340548E-5	 Time:120002	 ResultTime:117757	 Fitness:-21	 GlobIt:57771	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:102785	 Fitness:-19	 GlobIt:57973	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:104594	 Fitness:-22	 GlobIt:58472	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:110010	 Fitness:-19	 GlobIt:58418	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:108781	 Fitness:-15	 GlobIt:58395	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:96246	 Fitness:-27	 GlobIt:58430	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:118470	 Fitness:-22	 GlobIt:58563	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:107851	 Fitness:-17	 GlobIt:58641	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:117107	 Fitness:-24	 GlobIt:57962	 Hard broken:0
Iter:10	 startProb:0.1	 endProb:1.0E-4	 Temp:2.0846135131356087	 My:-6.931471805599453E-5	 Time:120002	 ResultTime:95346	 Fitness:-25	 GlobIt:58005	 Hard broken:0
