 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120002	 ResultTime:88315	 Fitness:-8235	 Generations:32678	 Hard broken:2
 Pop size:50	 Sel size:12	 Sel quota:0.25	 Mutation prob:80	 Time:120004	 ResultTime:113010	 Fitness:-2225	 Generations:32435	 Hard broken:1
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120004	 ResultTime:111284	 Fitness:-4230	 Generations:15923	 Hard broken:1
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120002	 ResultTime:94175	 Fitness:-8250	 Generations:15987	 Hard broken:3
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120006	 ResultTime:88410	 Fitness:-4213	 Generations:15757	 Hard broken:2
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120005	 ResultTime:102072	 Fitness:-16213	 Generations:15810	 Hard broken:5
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120006	 ResultTime:110748	 Fitness:-4216	 Generations:15756	 Hard broken:2
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120004	 ResultTime:102636	 Fitness:-6207	 Generations:15938	 Hard broken:2
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120008	 ResultTime:94702	 Fitness:-18223	 Generations:16032	 Hard broken:5
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120002	 ResultTime:65440	 Fitness:-14219	 Generations:15829	 Hard broken:5
 Pop size:50	 Sel size:25	 Sel quota:0.5	 Mutation prob:80	 Time:120002	 ResultTime:97054	 Fitness:-6242	 Generations:15969	 Hard broken:2
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120006	 ResultTime:115779	 Fitness:-6187	 Generations:10778	 Hard broken:3
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120002	 ResultTime:112792	 Fitness:-12203	 Generations:10578	 Hard broken:6
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120009	 ResultTime:78770	 Fitness:-9223	 Generations:10768	 Hard broken:3
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120006	 ResultTime:100383	 Fitness:-8211	 Generations:10798	 Hard broken:3
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120008	 ResultTime:110668	 Fitness:-24211	 Generations:10823	 Hard broken:7
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120009	 ResultTime:75423	 Fitness:-14224	 Generations:10789	 Hard broken:4
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120008	 ResultTime:92561	 Fitness:-6203	 Generations:10630	 Hard broken:2
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120006	 ResultTime:119264	 Fitness:-10203	 Generations:10798	 Hard broken:4
 Pop size:50	 Sel size:37	 Sel quota:0.75	 Mutation prob:80	 Time:120002	 ResultTime:118149	 Fitness:-16208	 Generations:10722	 Hard broken:6
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120002	 ResultTime:120002	 Fitness:-4218	 Generations:7919	 Hard broken:1
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120015	 ResultTime:118334	 Fitness:-6223	 Generations:7809	 Hard broken:2
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120005	 ResultTime:108302	 Fitness:-14239	 Generations:7851	 Hard broken:4
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120006	 ResultTime:97066	 Fitness:-21230	 Generations:8138	 Hard broken:8
 Pop size:50	 Sel size:50	 Sel quota:1.0	 Mutation prob:80	 Time:120006	 ResultTime:113239	 Fitness:-8199	 Generations:7980	 Hard broken:3
